input,ingredient_name
1/2 teaspoon hot red-pepper flakes,redpepper flakes
1/4 teaspoon freshly ground black pepper,black pepper
2 tablespoons kosher salt,salt
1 teaspoon thyme,thyme
1 1/2 teaspoons oregano,oregano
2 28-ounce cans crushed tomatoes,tomatoes
1/2 cup olive oil,olive oil
"8 cloves garlic, peeled and smashed",garlic
2 cups parsley leaves,parsley leaves
3/4 cup of liquid from cooked mussels,liquid mussels
4 tablespoons drained and rinsed capers,capers
1/2 teaspoon freshly ground black pepper,black pepper
1 tablespoon kosher salt,kosher salt
1/4 cup good quality olive oil,olive oil
1/2 cup fresh lemon juice,lemon
"3/4 pound white onion, quartered and thinly sliced (2 cups)",onion
"8 stalks (about 1 1/2 pounds) celery, peeled and cut diagonally into 1/4-inch slices",celery
4 9-ounce boxes frozen artichoke hearts,artichoke hearts
1 teaspoon kosher salt,kosher salt
"3 1/4 pounds medium shrimp (20-24 to the pound), shelled",shrimp
"6 1/2 pounds mussels (about 6 dozen), scrubbed and beards removed",mussels
1/2 teaspoon sugar,sugar
1 teaspoon Asian sesame oil,Asian sesame oil
10 ounces brussels sprouts,brussels sprouts
2 scallions,scallions
"8 Italian, French or Greek black olives",black olives
4 ripe plum tomatoes,plum tomatoes
1 teaspoon olive oil,olive oil
1 cup whole-wheat couscous,wholewheat couscous
No-salt added beef stock or broth,beef
8 ounces pork tenderloin,pork tenderloin
1 clove garlic,garlic
1/2 teaspoon ground ginger,ginger
1 teaspoon cumin,cumin
1 teaspoon ground cinnamon,cinnamon
1 teaspoon ground cloves,cloves
1 teaspoon ground ginger,ginger
2 teaspoons baking soda,soda
1 1/2 teaspoons kosher salt,salt
2 cups all-purpose flour,allpurpose flour
1 large egg,egg
"1 cup sugar, plus 1/4 cup for dusting the cookies",sugar
4 tablespoons dark molasses,molasses
"3/4 cup bacon fat, cooled (from 1 1/2 to 2 pounds Oscar Mayer bacon)",bacon fat
"Maple syrup, optional",Maple syrup
1 1/4 cups chopped fresh cranberries,cranberries
1 1/2 teaspoons salt,salt
2 tablespoons plus 2 teaspoons baking powder, 
2 tablespoons sugar,sugar
1/2 cup yellow cornmeal,cornmeal
2 cups flour,flour
4 large eggs,eggs
2 cups milk,milk
Salt,Salt
"10 tablespoons butter, cut into chunks, plus more for greasing pan",butter
1/2 tablespoon butter,butter
1/2 cup heavy cream,cream
2 tablespoons sugar,sugar
2 teaspoons cream cheese,cream cheese
2 teaspoons cornstarch,cornstarch
2 cups apple cider,apple cider
3/4 teaspoon pumpkin-pie spice,pumpkinpie spice
1/2 teaspoon salt,salt
1/2 cup packed light brown sugar,light sugar
2 Granny Smith apples,Granny Smith apples
2 gala apples,gala apples
Chopped fresh parsley leaves for garnish,parsley leaves
"1 lemon, thinly sliced","lemon,"
Flour for dredging,flour dredging
1 cup mixed good olives,mixed olives
"8 to 12 thin slices veal, preferably from the leg, pounded slightly until less than 1/4-inch thick","veal, preferably leg, pounded slightly until less than 1/4inch"
Salt and pepper,salt pepper
2 cups chopped tomatoes (canned are fine; drain them first),tomatoes
1 teaspoon minced garlic,garlic
Extra virgin olive oil as needed,virgin olive oil as
Freshly grated Parmesan,Parmesan
"1/4 cup chopped fresh basil, optional",basil
1/4 cup chopped fresh parsley,parsley
"6 cups stock or water, more as necessary",stock
2 cups chopped tomatoes (canned are fine; do not drain),tomatoes
"1 cup dried white beans, soaked for several hours or overnight",beans
"1 cup farro, spelt or barley",farro
1 tablespoon minced garlic,garlic
Salt and pepper,Salt pepper
"2 carrots, peeled and chopped",carrots
"2 celery stalks, trimmed and chopped",celery
"1 large onion, sliced",onion
2 tablespoons extra virgin olive oil,olive oil
Chopped fresh parsley leaves for garnish,parsley leaves
Black pepper,Black pepper
1/3 cup extra virgin olive oil,olive oil
2 pounds potatoes,potatoes
"1 1/2 to 2 pounds thick-cut cod, whiting, or hake fillets",cod
Coarse salt as needed,salt
1 teaspoon vanilla extract,vanilla
"2 tablespoons unsalted butter, at room temperature and cut into 4 pieces","butter, 4 pieces"
"5 ounces bittersweet chocolate, melted and still warm","bittersweet chocolate, still"
2 large egg yolks,egg yolks
1/4 teaspoon salt,salt
1 large egg,egg
2 tablespoons cornstarch,cornstarch
2 tablespoons cocoa,cocoa
6 tablespoons sugar,sugar
2 1/4 cups whole milk,milk
3 tablespoons slivered almonds,almonds
Pinch of salt,salt
1 1/4 teaspoons vanilla extract,vanilla
7 egg whites,egg
10 tablespoons confectioners' sugar,confectioners' sugar
2/3 cup heavy cream,cream
"4 1/2 tablespoons flour, preferably cake flour",flour
"About 2/3 cup blanched almonds, finely ground",almonds
3/4 cup granulated sugar,sugar
4 egg yolks,egg
1/3 cup plus 1/4 cup kirsch or dark rum,rum
"2 16-ounce cans dark cherries, pitted",cherries
2 tablespoons chopped parsley,parsley
2 tablespoons chopped parsley,parsley
Freshly ground black pepper,black pepper
"3 large cloves garlic, smashed",garlic
5 tablespoons tomato paste,tomato
6 cups chicken stock,chicken
1 cup sliced onion,onion
1 1/2 pounds hot Italian or Spanish sausage,sausage
"2 ducks, about 4 1/2 pounds each",ducks
1 2 1/2-pound chunk of slab bacon,slab bacon
"Bouquet garni of 1 sprig thyme, 2 bay leaves, parsley stalks and 3 large cloves garlic",bouquet garni
"4 medium carrots, peeled and sliced",carrots
"1 onion, peeled and stuck with 2 cloves",onion
Rind from 1/2 pound salt pork,salt pork
2 pounds (5 1/2 cups) dry white beans (Great Northern),beans
"Pyrex cups or ramekins, buttered",Pyrex cups
"8 scallop shells, Pyrex cups or ramekins, buttered",scallop shells
"3 tablespoons fresh parsley, chopped",parsley
"2/3 cup stale bread crumbs, from good bread",bread crumbs
1 stick plus 2 tablespoons butter,butter
"About 8 shallots, to yield 1 cup, minced",shallots
"Black pepper, freshly ground",Black pepper
Salt,Salt
"2 to 3 dozen scallops, to yield 1 pound",scallops
2 tablespoons unsalted butter,butter
2 to 3 teaspoons minced jalapeño,jalapeños
2 cups grated Monterey Jack,Monterey Jack
2/3 cup corn oil,corn oil
2 cups buttermilk,buttermilk
1 teaspoon baking soda,soda
1 teaspoon salt,salt
4 lightly beaten eggs,eggs
2 cups stone-ground yellow cornmeal,cornmeal
"2 8 1/2-ounce cans, or 2 cups plus 2 tablespoons cream-style corn",creamstyle corn
"Creme fraiche for topping, optional",creme fraiche
4 tablespoons regular or low-fat sour cream,cream
1 tablespoon grated lime rind,lime rind
4 teaspoons lemon juice,lemon
Salt to taste,Salt
1/4 teaspoon ground cloves or to taste,cloves
1 1/4 teaspoon ground cardamom,cardamom
3 tablespoons maple syrup,maple syrup
3 eggs,eggs
3 pounds sweet potatoes,potatoes
1 cup good quality chicken stock (approximately),chicken
2 lightly beaten eggs,eggs
Salt and freshly ground black pepper to taste,Salt black pepper
1 cup finely minced celery,celery
1 1/2 cups green bell peppers,peppers
"2 large cloves garlic, minced",garlic
2 cups finely chopped onion,onion
2 tablespoons unsalted butter,butter
"2 hard-cooked eggs, chopped",eggs
5 cups toasted bread cubes,bread cubes
5 cups corn bread cubes,corn bread cubes
2/3 cup coarsely chopped pecans,pecans
6 tablespoons Grand Marnier,Grand Marnier
1/4 cup orange juice,orange
1/2 to 3/4 cup sugar,sugar
1 pound fresh cranberries,cranberries
2 tablespoons coarse sugar like Demerara or turbinado (optional),sugar
"2 sheets frozen puff pastry, thawed overnight in refrigerator",puff pastry
1/8 teaspoon salt,salt
Flour for rolling out pastry,Flour
1 tablespoon fresh lemon juice,lemon
"1 cup peeled and grated tart apple, like Granny Smith (about 2 apples)",tart apple
1/2 teaspoon ground cinnamon,cinnamon
6 tablespoons granulated sugar,sugar
1 tablespoon finely chopped crystallized ginger,ginger
2/3 cup crumbled amaretti cookies,amaretti cookies
"1/8 teaspoon ground nutmeg, optional",nutmeg
"1/4 teaspoon ground cinnamon, optional",cinnamon
1/3 cup granulated sugar,sugar
8 egg yolks,egg
"1 vanilla bean, split lengthwise",vanilla bean
3 cups heavy cream,cream
1 cup canned pumpkin puree,pumpkin
Freshly ground white pepper,pepper
1/4 teaspoon ground cloves,cloves
1/4 teaspoon ground allspice,allspice
1/4 cup red wine vinegar,wine vinegar
1/2 cup maple syrup,maple syrup
Salt,Salt
1 cup heavy cream,cream
"1 celery root, about 1 1/2 pounds, peeled and cut in chunks",celery
"Sesame oil for drizzling, optional",Sesame oil
"1/2 cup roasted peanuts, optional",peanuts
1/4 cup minced scallions,scallions
"1/4 cup crispy cooked bacon, minced, optional",bacon
Soy sauce or salt to taste,Soy
"1/4 pound slab bacon, optional",slab bacon
"1 3-inch piece of ginger, peeled and roughly chopped",ginger
1 cup short-grain rice,shortgrain rice
"2 cups chicken stock, preferably homemade, or water",chicken
3 tablespoons extra-virgin olive oil,olive oil
1 tablespoon chili powder,chili
"6 cups cooked pinto or kidney beans, or a mixture",beans
1/2 cup fresh lime juice,lime
3 ripe Haas avocados,Haas avocados
"1 fresh jalapeno pepper, seeded and minced",jalapeno pepper
"2 medium-size cucumbers, peeled and seeded",cucumbers
"1 large red bell pepper, cored and seeded",pepper
2 medium-size red onions,onions
3 pints cherry tomatoes,cherry tomatoes
Salt and freshly ground black pepper,Salt black pepper
1/2 cup dry red wine,wine
3 tablespoons concentrated duck or veal stock (glace de viande),stock
3 tablespoons reserved marinade (see note),marinade
1 tablespoon finely minced fresh ginger,ginger
"2 shallots, finely minced",shallots
2 tablespoons fat from cooking duck breasts,fat
1 tablespoon fresh lemon juice,lemon
3 tablespoons light soy sauce,soy
2 tablespoons honey,honey
1 tablespoon Chinese five-spice powder,Chinese fivespice
3 moulard duck breasts (magret de canard),duck breasts
"4 tablespoons chives, cut into 1-inch-long pieces",chives
4 tablespoons shaved parmesan cheese,Parmesan cheese
3/4 cup grated parmesan cheese,Parmesan cheese
Salt and freshly ground black pepper,Salt black pepper
"1 pound parmesan cheese, chopped",Parmesan cheese
8 cups chicken broth,chicken
1 cup diced Spanish onion,onion
2 tablespoons butter,butter
2 teaspoons salt,salt
5 cups peeled and diced eggplant,eggplant
"Orange zest, for garnish (optional)",Orange
nan,gingersnap cookies
"Orange zest, for garnish (optional)",Orange
"Agave syrup (or honey) and finely crumbled gingersnap cookies, for rimming the glass",Agave syrup
Dash of lemon juice,lemon
2 1/2 ounces apple cider,apple cider
1 ounce vanilla vodka,vanilla vodka
2 ounces Domaine de Canton ginger and cognac liqueur,Domaine de Canton ginger
Salt and freshly ground pepper,Salt pepper
1 tablespoon chopped fresh oregano or 1 teaspoon dried,oregano
1 tablespoon chopped fresh basil or 1 teaspoon dried,basil
1 6-ounce can tomato paste,tomato
28 ounces no-salt-added whole tomatoes,tomatoes
"1 pound mushrooms, chopped",mushrooms
1/2 cup chopped carrots,carrots
"2 large cloves of garlic, minced",garlic
3/4 pound chopped onion,onion
1 tablespoon olive oil,olive oil
1 pound extra-lean ground beef,beef
Olive oil for grilling,Olive oil
"6 swordfish steaks, 1-inch-thick",swordfish
"8 anchovy fillets, dried on paper towels",anchovy
1/3 cup chopped cornichons,cornichons
1 cup diced red onion,onion
2 tablespoons capers,capers
1 tablespoon Dijon mustard,Dijon mustard
Grated rind from 2 lemons,lemons
Juice of 1 lemon,lemon
3/4 cup extra virgin olive oil,olive oil
1 1/2 large bunches flat-leaf parsley,parsley
Sea salt and freshly ground black pepper,Sea salt black pepper
30 or more basil leaves,basil leaves
6 cups chicken or vegetable stock,stock
"8 ounces stale Italian or sourdough bread, torn into 1-inch pieces",stale bread
1 2-pound-3-ounce can best-quality Italian tomatoes,tomatoes
"4 large cloves garlic, crushed",garlic
"4 tablespoons extra virgin olive oil, plus additional oil for topping (optional)",olive oil
1 tablespoon olive oil,olive oil
2 tablespoons fresh coriander leaves plus 4 coriander sprigs,coriander leaves
"2 jalapeno or serrano chilies, seeded and minced","jalapeno serrano chilies,"
"1 small red onion, finely diced","onion,"
4 tablespoons lime juice,lime
"3 small ripe avocados, skinned and pitted",avocados
Salt and freshly ground black pepper,Salt black pepper
1/2 cup coarsely grated Parmigiano-Reggiano,"ParmigianoReggiano,"
4 tablespoons unsalted butter,butter
1 1/2 cups instant polenta,"polenta,"
1 tablespoon sesame paste (tahini),sesame
"2 garlic cloves, peeled and crushed",garlic
1 1/2 teaspoons ground cumin,cumin
Salt and freshly ground black pepper,salt black pepper
Juice of 1 large lemon,1 lemon
1 cup extra-virgin olive oil,extravirgin olive oil
"2 1 1/2-pound eggplants, peeled and diced",eggplants 
"1 tablespoon, plus 1 teaspoon, confectioners' sugar",confectioners' sugar
2 medium egg yolks,egg
6 tablespoons whole milk,milk
"4 1/2 ounces bittersweet chocolate, chopped",chocolate
"Half a vanilla bean, split lengthwise, seeds scraped",vanilla bean
3/4 cup heavy cream,cream
"1 small bunch of watercress, to garnish (optional)",watercress
"Salt, as needed",Salt
Juice of 1 lemon,lemon
1 2/3 cups white wine,wine
Freshly ground black pepper,black pepper
"6 tablespoons butter, softened",butter
1 bunch rosemary,rosemary
"20 anchovy fillets in oil, drained",anchovy
"4 large garlic cloves, peeled and sliced lengthwise into thirds",garlic
1 4-pound bone-in leg of lamb,leg lamb
Splash of Champagne (optional),Splash Champagne
6 tablespoons chopped mint plus 6 sprigs mint for serving,mint
6 cups freshly squeezed tangerine juice,tangerine
"4 dried figs, quartered",figs
"8 dried Turkish apricots, cut in half",Turkish apricots
1 firm tart apple,apple
3 firm Bosc pears,Bosc pears
"2 2-inch long pieces lemon zest (peeled with a vegetable peeler), preferably Meyer lemons",lemon
3 star anise,star anise
"1 plump vanilla bean, split in half lengthwise",vanilla bean
1 1/4 cup sugar,sugar
1/4 cup coarsely chopped toasted almonds,almonds
1/4 teaspoon almond extract,almond
1 cup milk,milk
1/4 cup mascarpone cheese,mascarpone cheese
1 tablespoon peeled and minced ginger,ginger
"1/2 cup minced cilantro leaves, plus more for garnish",cilantro leaves
"1 fresh or dried hot red chile, minced, or 1/4 teaspoon cayenne, or to taste",chilies
Freshly ground black pepper to taste,black pepper
2 tablespoons peanut or other oil,oil
Lime wedges,Lime wedges
3/4 cup plus 2 tablespoons sugar,sugar
1/4 teaspoon salt,salt
6 tablespoons butter,butter
8 eggs,eggs
12 to 15 slices brioche or challah bread (all should be about 1/2-inch thick and about 3 inches round; cut accordingly),brioche challah bread
Salt to taste,Salt
"1 1/2 pounds fillet of cod or other mild, delicate white fish",cod
1 baking potato weighing about 1/2 pound,potato
Plain yogurt for serving,yogurt
3/4 cup diced mango for serving,mango
3/4 cup diced pineapple or sliced strawberries for serving,pineapple
2 tablespoons pomegranate seeds,pomegranate seeds
2 star fruits,fruits
"2 bananas, peeled and sliced",bananas
2 cups pure pomegranate juice (see note),pomegranate
9 sheets (3/4 ounce) leaf gelatin (see note),gelatin
1 3/4 ounces (about 1 1/4 cups) dried hibiscus flowers (see note),hibiscus flowers
1 1/4 cups sugar,sugar
2 cups bottled water,water
1 teaspoon vanilla extract,vanilla
3 tablespoons confectioners' sugar,confectioners' sugar
1 cup heavy cream,cream
2 tablespoons Grand Marnier,Grand Marnier
1 1/2 cups blueberries,blueberries
Creme chantilly,Creme chantilly
4 tablespoons melted butter for brushing,butter
2 teaspoons vanilla extract,vanilla
"4 tablespoons sweet butter, melted",butter
1/2 cup cold water,water
Pinch of salt,salt
2 cups low-fat milk,milk
1/4 cup sugar,sugar
4 eggs,eggs
2 cups fresh raspberries or strawberries,raspberries
2 tablespoons Cognac,Cognac
28 to 32 store-bought ladyfingers,ladyfingers
"1/2 cup chopped marron glace (French candied chestnuts), see note",marron glace
Creme chantilly,Creme chantilly
1/4 cup warm water,water
2 1/4-ounce packages unflavored gelatin,unflavored gelatin
"1 cup creme de marron (French chestnut puree), see note",creme de marron
Pinch of salt,salt
"1 vanilla bean, split in half",vanilla bean
10 egg yolks,egg
1 1/4 cup sugar,sugar
3 cups milk,milk
"12 to 16 ladyfingers, store-bought",ladyfingers
1 can (16 ounces) pears in syrup,pears
2 tablespoons dark rum,rum
Powdered sugar,sugar
2 tablespoons water,water
1/2 teaspoon vanilla extract,vanilla
1/4 cup sugar,sugar
Pinch of salt,salt
"1 1/4-ounce package, plus 1 teaspoon, unflavored gelatin",unflavored gelatin
Pinch of salt,salt
"1 vanilla bean, split in half",vanilla bean
1 1/2 cup milk,milk
3/4 cup sugar,sugar
5 egg yolks,egg
Coarse salt and freshly ground pepper to taste,salt pepper
"1 to 2 cups chicken stock, preferably homemade",chicken
2 tablespoons unsalted butter,butter
"1 pound chestnuts, peeled",chestnuts
2 pounds brussels sprouts,brussels sprouts
"1 lemon, halved",lemon
1 8- to 10-pound goose,goose
Coarse salt and freshly ground pepper to taste,salt pepper
1 cup white bread crumbs,bread crumbs
"1 pound cooking apples, peeled, cored and chopped",apples
Dash sage,sage
1/4 teaspoon thyme,thyme
"4 tablespoons parsley, chopped",parsley
"6 stalks celery, chopped",celery
"2 cloves garlic, minced",garlic
"1 medium onion, chopped",onion
2 tablespoons unsalted butter,butter
1 cup port or madeira,port
"1 pound prunes, pitted",prunes
Lemon juice to taste,Lemon
Coarse salt to taste,salt
1/2 teaspoon powdered ginger,ginger
Cayenne pepper to taste,Cayenne pepper
Dash freshly grated nutmeg,nutmeg
1 teaspoon ground mace,mace
"1 clove garlic, crushed",garlic
"1 pound small shrimp, shelled",shrimp
1/2 pound unsalted butter,butter
"1 medium-size red onion, about 1/2 pound, cut into thin rings",onion
"2 medium-size tomatoes, about 3/4 pound, cored and cut into small wedges",tomatoes
"1 whole cucumber, about 1/2 pound, peeled and cut into thin rounds",cucumber
"1 cup coarsely chopped, trimmed scallions, green part and all",scallions
"8 cups reasonably packed romaine lettuce leaves broken into fairly large, bite-size pieces",lettuce leaves
1/2 teaspoon dried hot red-pepper flakes,redpepper flakes
8 sprigs fresh coriander with stems and leaves,coriander
1 tablespoon finely minced garlic,garlic
1/2 cup fish sauce,fish
1 cup freshly squeezed lime juice,lime
"2 tablespoons corn, peanut or vegetable oil",oil
"1/2 pound lean, tender beef, preferably fillet of beef",beef
"2 pounds pears (or apples), peeled, cored and sliced",pears
"1 tablespoon vinegar (sherry, Champagne or white wine vinegar)",vinegar
"2 cups not-too-dry white wine, like gewürztraminer or riesling",nottoodry wine
1/2 pound dried pears or apples,pears apples
A few thyme sprigs,thyme
4 bay leaves,bay leaves
"2 large onions, roughly chopped",onions
"1/2 cup diced bacon or pancetta, optional",bacon pancetta
Salt and freshly ground pepper,salt pepper
"1 goose, cut into serving pieces, excess fat removed",goose
8 tablespoons unsalted butter,butter
1/8 teaspoon vanilla extract,vanilla
1/2 cup milk,milk
1/2 cup all-purpose flour,allpurpose flour
3 large eggs,eggs
1/2 teaspoon ground cinnamon,cinnamon
Scant 1/2 cup sugar plus 1 1/2 tablespoons sugar,sugar
1 large Granny Smith apple,Granny Smith apple
1 teaspoon garam masala (optional),garam masala
2 pinches cayenne,cayenne
2 tablespoons lemon juice,lemon
2 teaspoons salt,salt
"2 onions, halved and thinly sliced crosswise",onions
2 teaspoons sesame seeds,sesame seeds
1 tablespoon cumin or caraway seeds,seeds
6 tablespoons vegetable oil,vegetable oil
1 large head green cabbage,cabbage
"2 cloves garlic, crushed",garlic
1/4 cup olive oil,olive oil
"4 pounds chard, red or green",chard
Salt and pepper,Salt pepper
"2 teaspoons black or mixed peppercorns, bruised; more for garnish",peppercorns
1 tablespoon sugar,sugar
1/2 teaspoon red pepper flakes,pepper flakes
4 thyme sprigs,thyme
2 bay leaves,bay leaves
1 1/2 cups white wine vinegar,wine vinegar
"2 large red onions, peeled and sliced into thick rings, rings separated",onions
Salt and pepper,Salt pepper
"2 teaspoons fresh thyme leaves, plus more for garnish",thyme leaves
"2 shallots, diced",shallots
3 tablespoons butter,butter
40 radishes (green tops optional),radishes
"4 medium-size garlic cloves, minced",garlic
"1/4 cup minced fresh ginger (about 6 inches ginger root, peeled)",ginger
4 tablespoons vegetable oil,vegetable oil
"2 1/2 pounds string beans (French-style slim haricots verts work especially well), trimmed",string beans
Salt,Salt
Salt and pepper to taste,Salt pepper
1/4 cup dry white wine or vermouth,wine
"2 tablespoons black mustard seeds, cumin seeds, or poppy seeds",seeds
"3 garlic cloves, minced",garlic
2 tablespoons butter,butter
2 tablespoons olive oil,olive oil
2 to 3 pounds brussels sprouts,brussels sprouts
Grated zest of 1 lemon,lemon
"2 tablespoons freshly squeezed lemon juice, more to taste",lemon
Flour for dredging,Flour
2 tablespoons unsalted butter ,butter
"1 clove garlic, minced ",garlic
1/2 pound chanterelles,chanterelles
3 tablespoons creme fraiche,creme fraiche
2 tablespoons fresh tarragon (if available),tarragon
2 tablespoons chopped parsley,parsley
"1 medium-size orange, peeled and sectioned",orange
1/3 cup chopped red onion,onion
Salt and freshly ground pepper to taste,Salt pepper
2 tablespoons red-wine vinegar,redwine vinegar
1/3 cup olive or vegetable or corn oil,oil
2 teaspoons Dijon-style mustard,Dijonstyle mustard
2 endives,endives
4 tablespoons grated Parmesan or pecorino cheese,cheese
"1 bunch watercress, washed and drained",watercress
4 tablespoons coarsely chopped Italian parsley,parsley
"1/8 teaspoon red hot pepper flakes, optional",pepper flakes
3/4 cup heavy cream,cream
2 teaspoons chopped fresh oregano or 1 teaspoon dried,oregano
2 teaspoons chopped fresh rosemary or 1 teaspoon dried,rosemary
"3 red ripe tomatoes, about 1 pound, peeled and cut into 1/2-inch cubes",tomatoes
1 tablespoon finely chopped garlic,garlic
2 tablespoons olive oil,olive oil
Freshly ground pepper to taste,pepper
Salt to taste,Salt
3/4 pound cut ziti,ziti
"1 bunch broccoli, about 1 1/4 pounds",broccoli
"2 skinless boneless chicken breasts, about 1 pound",chicken breasts
2 tablespoons Parmesan cheese,Parmesan cheese
1/2 teaspoon freshly ground black pepper,black pepper
3/4 teaspoon salt,salt
1 tablespoon unsalted butter,butter
2 tablespoons olive oil,olive oil
1 butternut squash (about 3 pounds),butternut squash
2 tablespoons chopped parsley,parsley
1/4 teaspoon freshly ground black pepper,black pepper
1 teaspoon salt,salt
1 1/2 tablespoons unsalted butter,butter
2 tablespoons lemon juice,lemon
2 ounces (1 can) flat anchovy fillets,anchovy
"1 whole (double) turkey breast (see note), including the wings, about 5 pounds; or 6 boneless turkey steaks; or 2 to 2 1/4 pounds of other turkey meat",turkey
"1/3 cup salted pistachio nuts, coarsely ground",pistachio nuts
Sea salt,Sea salt
1/4 teaspoon freshly ground black pepper,black pepper
1/3 cup chopped mint,mint
"1/2 cup finely sliced celery hearts, with leaves",celery
1 teaspoon toasted and ground cumin seeds,cumin seeds
1 teaspoon toasted and ground coriander seeds,coriander seeds
"1/2 cup grated Pecorino Romano, preferably Fulvi",Pecorino Romano
Grated zest of 1 lemon,lemon
1 tablespoon lemon juice,lemon
"1/2 cup goat cheese (ché,vre), (4 ounces), softened",goat cheese
"1 cup cream cheese (8 ounces), softened",cream cheese
